product_name,short_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® 6767P Processor,6767P,Q1'25,64,3.90 GHz,2.40 GHz,336 MB,350 W
Intel® Xeon® 6768P Processor,6768P,Q1'25,64,3.90 GHz,2.40 GHz,336 MB,330 W
Intel® Xeon® 6780E Processor,6780E,Q2'24,144,3 GHz,2.2 GHz,108 MB,330 W
Intel® Xeon® 6781P Processor,6781P,Q1'25,80,3.80 GHz,2.00 GHz,336 MB,350 W
Intel® Xeon® 6787P Processor,6787P,Q1'25,86,3.80 GHz,2.00 GHz,336 MB,350 W
Intel® Xeon® 6788P Processor,6788P,Q1'25,86,3.80 GHz,2.00 GHz,336 MB,350 W
Intel® Xeon® 6944P Processor,6944P,Q1'25,72,3.9 GHz,1.8 GHz,432 MB,350 W
Intel® Xeon® 6952P Processor,6952P,Q3'24,96,3.9 GHz,2.1 GHz,480 MB,400 W
Intel® Xeon® 6960P Processor,6960P,Q3'24,72,3.9 GHz,2.7 GHz,432 MB,500 W
Intel® Xeon® 6972P Processor,6972P,Q3'24,96,3.9 GHz,2.4 GHz,480 MB,500 W
Intel® Xeon® 6979P Processor,6979P,Q3'24,120,3.9 GHz,2.1 GHz,504 MB,500 W
Intel® Xeon® 6980P Processor,6980P,Q3'24,128,3.9 GHz,2 GHz,504 MB,500 W
Intel® Xeon® Bronze 3204 Processor,3204,Q2'19,6,1.90 GHz,1.90 GHz,8.25 MB,85 W
Intel® Xeon® Bronze 3206R Processor,3206R,Q1'20,8,1.90 GHz,1.90 GHz,11 MB,85 W
Intel® Xeon® Bronze 3408U Processor,3408U,Q1'23,8,1.90 GHz,1.80 GHz,22.5 MB,125 W
Intel® Xeon® Bronze 3508U Processor,3508U,Q4'23,8,2.2 GHz,2.10 GHz,22.5 MB,125 W
Intel® Xeon® CPU Max 9460 Processor,9460,Q1'23,40,3.50 GHz,2.20 GHz,97.5 MB,350 W
Intel® Xeon® CPU Max 9462 Processor,9462,Q1'23,32,3.50 GHz,2.70 GHz,75 MB,350 W
Intel® Xeon® CPU Max 9468 Processor,9468,Q1'23,48,3.50 GHz,2.10 GHz,105 MB,350 W
Intel® Xeon® CPU Max 9470 Processor,9470,Q1'23,52,3.50 GHz,2.00 GHz,105 MB,350 W
Intel® Xeon® CPU Max 9480 Processor,9480,Q1'23,56,3.50 GHz,1.90 GHz,112.5 MB,350 W
Intel® Xeon® D-1602 Processor,D-1602,Q2'19,2,3.20 GHz,2.50 GHz,3 MB,27 W
Intel® Xeon® D-1622 Processor,D-1622,Q2'19,4,3.20 GHz,2.60 GHz,6 MB,40 W
Intel® Xeon® D-1623N Processor,D-1623N,Q2'19,4,3.20 GHz,2.40 GHz,6 MB,35 W
Intel® Xeon® D-1627 Processor,D-1627,Q2'19,4,3.20 GHz,2.90 GHz,6 MB,45 W
Intel® Xeon® D-1633N Processor,D-1633N,Q2'19,6,3.20 GHz,2.50 GHz,9 MB,45 W
Intel® Xeon® D-1637 Processor,D-1637,Q2'19,6,3.20 GHz,2.90 GHz,9 MB,55 W
Intel® Xeon® D-1649N Processor,D-1649N,Q2'19,8,3.00 GHz,2.30 GHz,12 MB,45 W
Intel® Xeon® D-1653N Processor,D-1653N,Q2'19,8,3.20 GHz,2.80 GHz,12 MB,65 W
Intel® Xeon® D-1702 Processor,D-1702,Q1'22,2,1.70 GHz,1.60 GHz,5 MB,25 W
Intel® Xeon® D-1712TR Processor,D-1712TR,Q1'22,4,3.10 GHz,2.00 GHz,10 MB,40 W
Intel® Xeon® D-1713NT Processor,D-1713NT,Q1'22,4,3.50 GHz,2.20 GHz,10 MB,45 W
Intel® Xeon® D-1713NTE Processor,D-1713NTE,Q1'22,4,3.30 GHz,2.20 GHz,10 MB,45 W
Intel® Xeon® D-1714 Processor,D-1714,Q1'22,4,3.40 GHz,2.30 GHz,10 MB,38 W
Intel® Xeon® D-1715TER Processor,D-1715TER,Q1'22,4,3.50 GHz,2.40 GHz,10 MB,50 W
Intel® Xeon® D-1718T Processor,D-1718T,Q1'22,4,3.50 GHz,2.60 GHz,10 MB,46 W
Intel® Xeon® D-1722NE Processor,D-1722NE,Q1'22,6,2.70 GHz,1.70 GHz,10 MB,36 W
Intel® Xeon® D-1726 Processor,D-1726,Q1'22,6,3.50 GHz,2.90 GHz,10 MB,70 W
Intel® Xeon® D-1731NTE Processor,D-1731NTE,Q1'22,8,2.8 GHz,1.70 GHz,15 MB,45 W
Intel® Xeon® D-1732TE Processor,D-1732TE,Q1'22,8,3.00 GHz,1.90 GHz,15 MB,52 W
Intel® Xeon® D-1733NT Processor,D-1733NT,Q1'22,8,3.10 GHz,2.00 GHz,15 MB,53 W
Intel® Xeon® D-1734NT Processor,D-1734NT,Q1'22,8,3.10 GHz,2.00 GHz,15 MB,50 W
Intel® Xeon® D-1735TR Processor,D-1735TR,Q1'22,8,3.40 GHz,2.20 GHz,15 MB,59 W
Intel® Xeon® D-1736 Processor,D-1736,Q1'22,8,3.40 GHz,2.30 GHz,15 MB,55 W
Intel® Xeon® D-1736NT Processor,D-1736NT,Q1'22,8,3.50 GHz,2.70 GHz,15 MB,67 W
Intel® Xeon® D-1739 Processor,D-1739,Q1'22,8,3.50 GHz,3.00 GHz,15 MB,83 W
Intel® Xeon® D-1746TER Processor,D-1746TER,Q1'22,10,3.10 GHz,2.00 GHz,15 MB,67 W
Intel® Xeon® D-1747NTE Processor,D-1747NTE,Q1'22,10,3.50 GHz,2.50 GHz,15 MB,80 W
Intel® Xeon® D-1748TE Processor,D-1748TE,Q1'22,10,3.40 GHz,2.30 GHz,15 MB,65 W
Intel® Xeon® D-1749NT Processor,D-1749NT,Q1'22,10,3.50 GHz,3.00 GHz,15 MB,90 W
Intel® Xeon® D-1813NT Processor,D-1813NT,Q4'23,4,2.4 GHz,2.20 GHz,10240,42 W
Intel® Xeon® D-1823NT Processor,D-1823NT,Q4'23,6,3.5 GHz,2.80 GHz,10240,55 W
Intel® Xeon® D-1834 Processor,D-1834,Q4'23,8,2.9 GHz,1.80 GHz,15360,42 W
Intel® Xeon® D-1844NT Processor,D-1844NT,Q4'23,10,3.1 GHz,2.00 GHz,15360,55 W
Intel® Xeon® D-1846 Processor,D-1846,Q4'23,10,3.1 GHz,2.00 GHz,15360,55 W
Intel® Xeon® D-1848TER Processor,D-1848TER,Q4'23,10,3.1 GHz,2.00 GHz,15360,57 W
Intel® Xeon® D-2123IT Processor,D-2123IT,Q1'18,4,3.00 GHz,2.20 GHz,8 MB,60 W
Intel® Xeon® D-2141I Processor,D-2141I,Q1'18,8,3.00 GHz,2.20 GHz,11 MB,65 W
Intel® Xeon® D-2142IT Processor,D-2142IT,Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65 W
Intel® Xeon® D-2143IT Processor,D-2143IT,Q1'18,8,3.00 GHz,2.20 GHz,11 MB,65 W
Intel® Xeon® D-2145NT Processor,D-2145NT,Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65 W
Intel® Xeon® D-2146NT Processor,D-2146NT,Q1'18,8,3.00 GHz,2.30 GHz,11 MB,80 W
Intel® Xeon® D-2161I Processor,D-2161I,Q1'18,12,3.00 GHz,2.20 GHz,16.5 MB L2 Cache,90 W
Intel® Xeon® D-2163IT Processor,D-2163IT,Q1'18,12,3.00 GHz,2.10 GHz,17 MB,75 W
Intel® Xeon® D-2166NT Processor,D-2166NT,Q1'18,12,3.00 GHz,2.00 GHz,17 MB,85 W
Intel® Xeon® D-2173IT Processor,D-2173IT,Q1'18,14,3.00 GHz,1.70 GHz,19 MB,70 W
Intel® Xeon® D-2177NT Processor,D-2177NT,Q1'18,14,3.00 GHz,1.90 GHz,19 MB,105 W
Intel® Xeon® D-2183IT Processor,D-2183IT,Q1'18,16,3.00 GHz,2.20 GHz,22 MB,100 W
Intel® Xeon® D-2187NT Processor,D2187NT,Q1'18,16,3.00 GHz,2.00 GHz,22 MB,110 W
Intel® Xeon® D-2712T Processor,D-2712T,Q1'22,4,3.00 GHz,1.90 GHz,15 MB,65 W
Intel® Xeon® D-2733NT Processor,D-2733NT,Q1'22,8,3.20 GHz,2.10 GHz,15 MB,80 W
Intel® Xeon® D-2738 Processor,D-2738,Q1'22,8,3.50 GHz,2.50 GHz,15 MB,88 W
Intel® Xeon® D-2739NT Processor,D-2739NT,Q1'22,8,3.5 GHz,2.50 GHz,15 MB,97 W
Intel® Xeon® D-2745NX Processor,D-2745NX,Q3'22,10,3.50 GHz,2.40 GHz,17.5 MB,96 W
Intel® Xeon® D-2752NTE Processor,D-2752NTE,Q1'22,12,3.00 GHz,1.90 GHz,20 MB,84 W
Intel® Xeon® D-2752TER Processor,D-2752TER,Q1'22,12,2.80 GHz,1.80 GHz,20 MB,77 W
Intel® Xeon® D-2753NT Processor,D-2753NT,Q1'22,12,3.10 GHz,2.00 GHz,20 MB,87 W
Intel® Xeon® D-2757NX Processor,D-2757NX,Q3'22,12,3.50 GHz,2.50 GHz,20 MB,107 W
Intel® Xeon® D-2766NT Processor,D-2766NT,Q1'22,14,3.10 GHz,2.00 GHz,20 MB,97 W
Intel® Xeon® D-2775TE Processor,D-2775TE,Q1'22,16,3.10 GHz,2.00 GHz,25 MB,100 W
Intel® Xeon® D-2776NT Processor,D-2776NT,Q1'22,16,3.20 GHz,2.10 GHz,25 MB,117 W
Intel® Xeon® D-2777NX Processor,D-2777NX,Q3'22,16,3.30 GHz,2.20 GHz,25 MB,116 W
Intel® Xeon® D-2779 Processor,D-2779,Q1'22,16,3.40 GHz,2.50 GHz,25 MB,126 W
Intel® Xeon® D-2786NTE Processor,D-2786NTE,Q1'22,18,3.10 GHz,2.10 GHz,27.5 MB,118 W
Intel® Xeon® D-2795NT Processor,D-2795NT,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,110 W
Intel® Xeon® D-2796NT Processor,D-2796NT,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,120 W
Intel® Xeon® D-2796TE Processor,D-2796TE,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,118 W
Intel® Xeon® D-2798NT Processor,D-2798NT,Q1'22,20,3.10 GHz,2.10 GHz,30 MB,125 W
Intel® Xeon® D-2798NX Processor,D-2798NX,Q3'22,20,3.10 GHz,2.10 GHz,30 MB,126 W
Intel® Xeon® D-2799 Processor,D-2799,Q1'22,20,3.40 GHz,2.40 GHz,30 MB,129 W
Intel® Xeon® D-2832NT Processor,D-2832NT,Q4'23,8,3.2 GHz,2.10 GHz,15 MB,70 W
Intel® Xeon® D-2843NT Processor,D-2843NT,Q4'23,10,3.2 GHz,2.00 GHz,15 MB,80 W
Intel® Xeon® D-2876NT Processor,D-2876NT,Q4'23,16,3.1 GHz,2.00 GHz,20 MB,100 W
Intel® Xeon® D-2896NT Processor,D-2896NT,Q4'23,20,3.2 GHz,2.00 GHz,30 MB,117 W
Intel® Xeon® D-2896TER Processor,D-2896TER,Q4'23,20,3.2 GHz,2.00 GHz,30 MB,110 W
Intel® Xeon® D-2899NT Processor,D-2899NT,Q4'23,22,3.1 GHz,2.20 GHz,30 MB,135 W
Intel® Xeon® E-2124 Processor,E-2124,Q3'18,4,4.30 GHz,3.30 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2124G Processor,E-2124G,Q3'18,4,4.50 GHz,3.40 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2126G Processor,E-2126G,Q3'18,6,4.50 GHz,3.30 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2134 Processor,E-2134,Q3'18,4,4.50 GHz,3.50 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2136 Processor,E-2136,Q3'18,6,4.50 GHz,3.30 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2144G Processor,E-2144G,Q3'18,4,4.50 GHz,3.60 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2146G Processor,E-2146G,Q3'18,6,4.50 GHz,3.50 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2174G Processor,E-2174G,Q3'18,4,4.70 GHz,3.80 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2176M Processor,E-2176M,Q2'18,6,4.40 GHz,2.70 GHz,12 MB Intel® Smart Cache,45 W
Intel® Xeon® E-2186G Processor,E-2186G,Q3'18,6,4.70 GHz,3.80 GHz,12 MB Intel® Smart Cache,95 W
Intel® Xeon® E-2186M Processor,E-2186M,Q2'18,6,4.80 GHz,2.90 GHz,12 MB Intel® Smart Cache,45 W
Intel® Xeon® E-2224 Processor,E-2224,Q2'19,4,4.60 GHz,3.40 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2224G Processor,E-2224G,Q2'19,4,4.70 GHz,3.50 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2226G Processor,E-2226G,Q2'19,6,4.70 GHz,3.40 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2226GE Processor,E-2226GE,Q2'19,6,4.60 GHz,3.40 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2234 Processor,E-2234,Q2'19,4,4.80 GHz,3.60 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2236 Processor,E-2236,Q2'19,6,4.80 GHz,3.40 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2244G Processor,E-2244G,Q2'19,4,4.80 GHz,3.80 GHz,8 MB Intel® Smart Cache,71 W
Intel® Xeon® E-2246G Processor,E-2246G,Q2'19,6,4.80 GHz,3.60 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2254ME Processor,E-2254ME,Q2'19,4,3.80 GHz,2.60 GHz,8 MB,45 W
Intel® Xeon® E-2254ML Processor,E-2254ML,Q2'19,4,3.50 GHz,1.70 GHz,8 MB,25 W
Intel® Xeon® E-2274G Processor,E-2274G,Q2'19,4,4.90 GHz,4.00 GHz,8 MB Intel® Smart Cache,83 W
Intel® Xeon® E-2276G Processor,E-2276G,Q2'19,6,4.90 GHz,3.80 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2276ME Processor,E-2276ME,Q2'19,6,4.50 GHz,2.80 GHz,12 MB,45 W
Intel® Xeon® E-2276ML Processor,E-2276ML,Q2'19,6,4.20 GHz,2.00 GHz,12 MB,25 W
Intel® Xeon® E-2278G Processor,E-2278G,Q2'19,8,5.00 GHz,3.40 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2278GE Processor,E-2278GE,Q2'19,8,4.70 GHz,3.30 GHz,16 MB,80 W
Intel® Xeon® E-2278GEL Processor,E-2278GEL,Q2'19,8,3.90 GHz,2.00 GHz,16 MB,35 W
Intel® Xeon® E-2286G Processor,E-2286G,Q2'19,6,4.90 GHz,4.00 GHz,12 MB Intel® Smart Cache,95 W
Intel® Xeon® E-2288G Processor,E-2288G,Q2'19,8,5.00 GHz,3.70 GHz,16 MB Intel® Smart Cache,95 W
Intel® Xeon® E-2314 Processor,E-2314,Q3'21,4,4.50 GHz,2.80 GHz,8 MB Intel® Smart Cache,65 W
Intel® Xeon® E-2324G Processor,E-2324G,Q3'21,4,4.60 GHz,3.10 GHz,8 MB Intel® Smart Cache,65 W
Intel® Xeon® E-2334 Processor,E-2334,Q3'21,4,4.80 GHz,3.40 GHz,8 MB Intel® Smart Cache,65 W
Intel® Xeon® E-2336 Processor,E-2336,Q3'21,6,4.80 GHz,2.90 GHz,12 MB Intel® Smart Cache,65 W
Intel® Xeon® E-2356G Processor,E-2356G,Q3'21,6,5.00 GHz,3.20 GHz,12 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2374G Processor,E-2374G,Q3'21,4,5.00 GHz,3.70 GHz,8 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2378 Processor,E-2378,Q3'21,8,4.80 GHz,2.60 GHz,16 MB Intel® Smart Cache,65 W
Intel® Xeon® E-2378G Processor,E-2378G,Q3'21,8,5.10 GHz,2.80 GHz,16 MB Intel® Smart Cache,80 W
Intel® Xeon® E-2386G Processor,E-2386G,Q3'21,6,5.10 GHz,3.50 GHz,12 MB Intel® Smart Cache,95 W
Intel® Xeon® E-2388G Processor,E-2388G,Q3'21,8,5.10 GHz,3.20 GHz,16 MB Intel® Smart Cache,95 W
Intel® Xeon® E-2414 Processor,E-2414,Q4'23,4,4.50 GHz,2.60 GHz,12 MB,55 W
Intel® Xeon® E-2434 Processor,E-2434,Q4'23,4,5.00 GHz,3.40 GHz,12 MB,55 W
Intel® Xeon® E-2436 Processor,E-2436,Q4'23,6,5.00 GHz,2.90 GHz,18 MB,65 W
Intel® Xeon® E-2456 Processor,E-2456,Q4'23,6,5.10 GHz,3.30 GHz,18 MB,80 W
Intel® Xeon® E-2468 Processor,E-2468,Q4'23,8,5.2 GHz,2.6 GHz,24 MB,65 W
Intel® Xeon® E-2478 Processor,E-2478,Q4'23,8,5.20 GHz,2.8 GHz,24 MB,80 W
Intel® Xeon® E-2486 Processor,E-2486,Q4'23,6,5.6 GHz,3.5 GHz,18 MB,95 W
Intel® Xeon® E-2488 Processor,E-2488,Q4'23,8,5.60 GHz,3.20 GHz,24 MB,95 W
Intel® Xeon® Gold 5215 Processor,5215,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB,85 W
Intel® Xeon® Gold 5215L Processor,5215L,Q2'19,10,3.40 GHz,2.50 GHz,13.75 MB,85 W
Intel® Xeon® Gold 5217 Processor,5217,Q2'19,8,3.70 GHz,3.00 GHz,11 MB,115 W
Intel® Xeon® Gold 5218 Processor,5218,Q2'19,16,3.90 GHz,2.30 GHz,22 MB,125 W
Intel® Xeon® Gold 5218B Processor,5218B,Q2'19,16,3.90 GHz,2.30 GHz,22 MB,125 W
Intel® Xeon® Gold 5218N Processor,5218N,Q2'19,16,3.70 GHz,2.30 GHz,22 MB,110 W
Intel® Xeon® Gold 5218R Processor,5218R,Q1'20,20,4.00 GHz,2.10 GHz,27.5 MB,125 W
Intel® Xeon® Gold 5218T Processor,5218T,Q2'19,16,3.80 GHz,2.10 GHz,22 MB,105 W
Intel® Xeon® Gold 5220 Processor,5220,Q2'19,18,3.90 GHz,2.20 GHz,24.75 MB,125 W
Intel® Xeon® Gold 5220R Processor,5220R,Q1'20,24,4.00 GHz,2.20 GHz,35.75 MB,150 W
Intel® Xeon® Gold 5220S Processor,5220S,Q2'19,18,3.90 GHz,2.70 GHz,24.75 MB,125 W
Intel® Xeon® Gold 5220T Processor,5220T,Q2'19,18,3.90 GHz,1.90 GHz,24.75 MB,105 W
Intel® Xeon® Gold 5222 Processor,5222,Q2'19,4,3.90 GHz,3.80 GHz,16.5 MB,105 W
Intel® Xeon® Gold 5315Y Processor,5315Y,Q2'21,8,3.60 GHz,3.20 GHz,12 MB,140 W
Intel® Xeon® Gold 5317 Processor,5317,Q2'21,12,3.60 GHz,3.00 GHz,18 MB,150 W
Intel® Xeon® Gold 5318H Processor,5318H,Q2'20,18,3.80 GHz,2.50 GHz,24.75 MB,150 W
Intel® Xeon® Gold 5318N Processor,5318N,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,150 W
Intel® Xeon® Gold 5318S Processor,5318S,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
Intel® Xeon® Gold 5318Y Processor,5318Y,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
Intel® Xeon® Gold 5320 Processor,5320,Q2'21,26,3.40 GHz,2.20 GHz,39 MB,185 W
Intel® Xeon® Gold 5320H Processor,5320H,Q2'20,20,4.20 GHz,2.40 GHz,27.5 MB,150 W
Intel® Xeon® Gold 5320T Processor,5320T,Q2'21,20,3.50 GHz,2.30 GHz,30 MB,150 W
Intel® Xeon® Gold 5403N Processor,5403N,Q4'23,12,3.9 GHz,2 GHz,22.5 MB,115 W
Intel® Xeon® Gold 5411N Processor,5411N,Q1'23,24,3.90 GHz,1.90 GHz,45 MB,165 W
Intel® Xeon® Gold 5412U Processor,5412U,Q1'23,24,3.90 GHz,2.10 GHz,45 MB,185 W
Intel® Xeon® Gold 5415+ Processor,5415+,Q1'23,8,4.10 GHz,2.90 GHz,22.5 MB,150 W
Intel® Xeon® Gold 5416S Processor,5416S,Q1'23,16,4.00 GHz,2.00 GHz,30 MB,150 W
Intel® Xeon® Gold 5418N Processor,5418N,Q1'23,24,3.80 GHz,1.80 GHz,45 MB,165 W
Intel® Xeon® Gold 5418Y Processor,5418Y,Q1'23,24,3.80 GHz,2.00 GHz,45 MB,185 W
Intel® Xeon® Gold 5420+ Processor,5420+,Q1'23,28,4.10 GHz,2.00 GHz,52.5 MB,205 W
Intel® Xeon® Gold 5423N Processor,5423N,Q1'23,20,4.00 GHz,2.10 GHz,37.5 MB,145 W
Intel® Xeon® Gold 5433N Processor,5433N,Q1'23,20,4.10 GHz,2.30 GHz,37.5 MB,160 W
Intel® Xeon® Gold 5512U Processor,5512U,Q4'23,28,3.7 GHz,2.1 GHz,52.5 MB,185 W
Intel® Xeon® Gold 5515+ Processor,5515+,Q4'23,8,4.1 GHz,3.2 GHz,22.5 MB,165 W
Intel® Xeon® Gold 5520+ Processor,5520+,Q4'23,28,4 GHz,2.2 GHz,52.5 MB,205 W
Intel® Xeon® Gold 6138P Processor,6138P,Q2'18,20,3.70 GHz,2.00 GHz,27.5 MB L3 Cache,195 W
Intel® Xeon® Gold 6208U Processor,6208U,Q1'20,16,3.90 GHz,2.90 GHz,22 MB,150 W
Intel® Xeon® Gold 6209U Processor,6209U,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125 W
Intel® Xeon® Gold 6210U Processor,6210U,Q2'19,20,3.90 GHz,2.50 GHz,27.5 MB,150 W
Intel® Xeon® Gold 6212U Processor,6212U,Q2'19,24,3.90 GHz,2.40 GHz,35.75 MB,165 W
Intel® Xeon® Gold 6222V Processor,6222V,Q2'19,20,3.60 GHz,1.80 GHz,27.5 MB,115 W
Intel® Xeon® Gold 6226 Processor,6226,Q2'19,12,3.70 GHz,2.70 GHz,19.25 MB,125 W
Intel® Xeon® Gold 6226R Processor,6226R,Q1'20,16,3.90 GHz,2.90 GHz,22 MB,150 W
Intel® Xeon® Gold 6230 Processor,6230,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125 W
Intel® Xeon® Gold 6230N Processor,6230N,Q2'19,20,3.50 GHz,2.30 GHz,27.5 MB,125 W
Intel® Xeon® Gold 6230R Processor,6230R,Q1'20,26,4.00 GHz,2.10 GHz,35.75 MB,150 W
Intel® Xeon® Gold 6230T Processor,6230T,Q2'19,20,3.90 GHz,2.10 GHz,27.5 MB,125 W
Intel® Xeon® Gold 6234 Processor,6234,Q2'19,8,4.00 GHz,3.30 GHz,24.75 MB,130 W
Intel® Xeon® Gold 6238 Processor,6238,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB,140 W
Intel® Xeon® Gold 6238L Processor,6238L,Q2'19,22,3.70 GHz,2.10 GHz,30.25 MB,140 W
Intel® Xeon® Gold 6238R Processor,6238R,Q1'20,28,4.00 GHz,2.20 GHz,38.5 MB,165 W
Intel® Xeon® Gold 6238T Processor,6238T,Q2'19,22,3.70 GHz,1.90 GHz,30.25 MB,125 W
Intel® Xeon® Gold 6240 Processor,6240,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150 W
Intel® Xeon® Gold 6240L Processor,6240L,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150 W
Intel® Xeon® Gold 6240R Processor,6240R,Q1'20,24,4.00 GHz,2.40 GHz,35.75 MB,165 W
Intel® Xeon® Gold 6240Y Processor,6240Y,Q2'19,18,3.90 GHz,2.60 GHz,24.75 MB,150 W
Intel® Xeon® Gold 6242 Processor,6242,Q2'19,16,3.90 GHz,2.80 GHz,22 MB,150 W
Intel® Xeon® Gold 6242R Processor,6242R,Q1'20,20,4.10 GHz,3.10 GHz,35.75 MB,205 W
Intel® Xeon® Gold 6244 Processor,6244,Q2'19,8,4.40 GHz,3.60 GHz,24.75 MB,150 W
Intel® Xeon® Gold 6246 Processor,6246,Q2'19,12,4.20 GHz,3.30 GHz,24.75 MB,165 W
Intel® Xeon® Gold 6246R Processor,6246R,Q1'20,16,4.10 GHz,3.40 GHz,35.75 MB,205 W
Intel® Xeon® Gold 6248 Processor,6248,Q2'19,20,3.90 GHz,2.50 GHz,27.5 MB,150 W
Intel® Xeon® Gold 6248R Processor,6248R,Q1'20,24,4.00 GHz,3.00 GHz,35.75 MB,205 W
Intel® Xeon® Gold 6250 Processor,6250,Q1'20,8,4.50 GHz,3.90 GHz,35.75 MB,185 W
Intel® Xeon® Gold 6250L Processor,6250L,Q1'20,8,4.50 GHz,3.90 GHz,35.75 MB,185 W
Intel® Xeon® Gold 6252 Processor,6252,Q2'19,24,3.70 GHz,2.10 GHz,35.75 MB,150 W
Intel® Xeon® Gold 6252N Processor,6252N,Q2'19,24,3.60 GHz,2.30 GHz,35.75 MB,150 W
Intel® Xeon® Gold 6254 Processor,6254,Q2'19,18,4.00 GHz,3.10 GHz,24.75 MB,200 W
Intel® Xeon® Gold 6256 Processor,6256,Q1'20,12,4.50 GHz,3.60 GHz,33 MB,205 W
Intel® Xeon® Gold 6258R Processor,6258R,Q1'20,28,4.00 GHz,2.70 GHz,38.5 MB,205 W
Intel® Xeon® Gold 6262V Processor,6262V,Q2'19,24,3.60 GHz,1.90 GHz,33 MB,135 W
Intel® Xeon® Gold 6312U Processor,6312U,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185 W
Intel® Xeon® Gold 6314U Processor,6314U,Q2'21,32,3.40 GHz,2.30 GHz,48 MB,205 W
Intel® Xeon® Gold 6326 Processor,6326,Q2'21,16,3.50 GHz,2.90 GHz,24 MB,185 W
Intel® Xeon® Gold 6328H Processor,6328H,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165 W
Intel® Xeon® Gold 6328HL Processor,6328HL,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165 W
Intel® Xeon® Gold 6330 Processor,6330,Q2'21,28,3.10 GHz,2.00 GHz,42 MB,205 W
Intel® Xeon® Gold 6330H Processor,6330H,Q3'20,24,3.70 GHz,2.00 GHz,33 MB,150 W
Intel® Xeon® Gold 6330N Processor,6330N,Q2'21,28,3.40 GHz,2.20 GHz,42 MB,165 W
Intel® Xeon® Gold 6334 Processor,6334,Q2'21,8,3.70 GHz,3.60 GHz,18 MB,165 W
Intel® Xeon® Gold 6336Y Processor,6336Y,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185 W
Intel® Xeon® Gold 6338 Processor,6338,Q2'21,32,3.20 GHz,2.00 GHz,48 MB,205 W
Intel® Xeon® Gold 6338N Processor,6338N,Q2'21,32,3.50 GHz,2.20 GHz,48 MB,185 W
Intel® Xeon® Gold 6338T Processor,6338T,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165 W
Intel® Xeon® Gold 6342 Processor,6342,Q2'21,24,3.50 GHz,2.80 GHz,36 MB,230 W
Intel® Xeon® Gold 6346 Processor,6346,Q2'21,16,3.60 GHz,3.10 GHz,36 MB,205 W
Intel® Xeon® Gold 6348 Processor,6348,Q2'21,28,3.50 GHz,2.60 GHz,42 MB,235 W
Intel® Xeon® Gold 6348H Processor,6348H,Q2'20,24,4.20 GHz,2.30 GHz,33 MB,165 W
Intel® Xeon® Gold 6354 Processor,6354,Q2'21,18,3.60 GHz,3.00 GHz,39 MB,205 W
Intel® Xeon® Gold 6403N Processor,6403N,Q3'23,24,3.60 GHz,1.90 GHz,45 MB,185 W
Intel® Xeon® Gold 6414U Processor,6414U,Q1'23,32,3.40 GHz,2.00 GHz,60 MB,250 W
